[2025-12-10 23:40:57,390][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe0, 4) PIECE (stack, 0xffffffffffffffe1, 3) , (stack, 0xffffffffffffffe0, 1)
[2025-12-10 23:40:57,391][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe0, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,391][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,391][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe0, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,391][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe1, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,391][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,391][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe1, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,392][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe2, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,392][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,394][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe2, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,394][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe3, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,394][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,394][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe3, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,395][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe6, 2) PIECE (stack, 0xffffffffffffffe7, 1) , (stack, 0xffffffffffffffe6, 1)
[2025-12-10 23:40:57,395][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe5, 3) PIECE (stack, 0xffffffffffffffe6, 2) , (stack, 0xffffffffffffffe5, 1)
[2025-12-10 23:40:57,397][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe4, 4) PIECE (stack, 0xffffffffffffffe5, 3) , (stack, 0xffffffffffffffe4, 1)
[2025-12-10 23:40:57,397][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe4, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,398][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,398][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe4, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
